2023-06-14 16:44:17.864 | ERROR | 2-thread-4 | .ISaDA.NewsProcessor:40    | Unexpected character (Ш) at position 521.
2023-06-14 16:44:17.884 | ERROR | 2-thread-6 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.907 | ERROR | 2-thread-7 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.931 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.952 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.977 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:18.003 | ERROR | -thread-11 | .ISaDA.NewsProcessor:40    | Unexpected character (М) at position 379.
2023-06-14 16:44:18.026 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:18.053 | ERROR | 2-thread-5 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:18.075 | ERROR | -thread-13 | .ISaDA.NewsProcessor:40    | Unexpected character (Н) at position 546.
